sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
PEPEUSDT,0.25906779220212406,0.0004745818462516593,0.25906779220212783,0.45906779220212784,5528528.0113615,2,30288215.89281589,18
TRUMPUSDT,0.042617437124651256,0.0002568513001289762,0.12509998103724107,0.3250999810372411,291340.38098250004,2,29297937.460781,19
PYTHUSDT,0.020062200065058867,1.707627771474716e-05,0.27264412166798646,0.47264412166798647,84112.2109485,2,29139725.139381,20
TUTUSDT,0.02982008554971953,0.014059186146012868,0.40689842002858967,0.6068984200285896,73946.88162500001,2,29118834.0428,21
BMTUSDT,0.04678363597056237,3.095300701131859e-05,0.7085717434159589,0.9085717434159588,76072.046258,2,27596819.781143,22
UUSDT,0.010005503026674672,0.0,0.010005503026666585,0.2100055030266666,17080057.706299998,2,27221504.6007,23
XAUTUSDT,0.00021678125617590415,3.3229855607665364e-08,0.000491057412382867,0.20049105741238288,305467.1277815,2,23299992.520165,24
LTCUSDT,0.019807866830551885,1.1097377008398918e-05,0.05896851318648033,0.25896851318648034,539353.44291,2,22684067.33968,25
LINKUSDT,0.008606964627110109,5.238234757722309e-06,0.058236403988032315,0.2582364039880323,273308.72301,2,22590293.57957,26
NEARUSDT,0.052590060478563766,0.0,0.1127899809209465,0.3127899809209465,1128419.13795,2,22543154.0875,27
ADAUSDT,0.04698145270028334,3.1215319515493163e-05,0.07944979289847831,0.2794497928984783,733954.873845,2,22238572.85936,28
