ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_DXY x d_DXY ~ sin roc_168 [bajo],magnitud,194,-2.597168196244986,32.846258115746885,0.422680412371134,1.0,0.012944447252447968,1.06206721723903,0.803906445814497,-0.17945597080111075,0.04178796240422095,False,spread <= 0
beta_DXY x d_DXY [bajo],magnitud,194,-2.607953826956413,32.868734198118716,0.422680412371134,1.0,0.013315003684731368,1.0453967542685216,0.7996427840837306,-0.21920479936157913,0.019019423688483472,False,spread <= 0
beta_DXY [bajo],magnitud,195,-2.702425505817111,32.81513523370976,0.4564102564102564,1.0,0.030956827178083852,1.1165730264947837,0.8071150321373483,-3.1537467574381073,-3.004008195120431,False,spread <= 0
CONTROL azar 1,magnitud,203,-2.7563722394249113,30.97683663621801,0.45320197044334976,1.0,-0.000950698853387682,1.0092309527053107,0.8101588074335823,-0.1925372363630385,-0.11246170623817346,False,control
CONTROL azar 2,magnitud,203,-2.8376494611008853,31.364268128339685,0.41379310344827586,1.0,-0.004294650419720999,0.9911653813172115,0.7983578659045102,-0.38166975427496597,-3.0330166618432757,False,control
beta_DXY ~ sin roc_168 [bajo],magnitud,195,-2.8945132431272365,32.781027685206546,0.4461538461538462,1.0,0.025742726842546287,1.1091280166174078,0.8056415272118198,-3.2792200442353434,-3.182762604349244,False,spread <= 0
beta_T10 ~ sin roc_168 [bajo],magnitud,195,-3.0153334640041485,32.431277512868746,0.4307692307692308,1.0,0.015759455811018896,1.0794248604664063,0.8074544314278855,-3.331388147089605,-3.1387178010701797,False,spread <= 0
beta_T10 [bajo],magnitud,195,-3.120321353988257,32.42718530125783,0.4,1.0,0.01362518869572181,1.0862827246931925,0.8043463230589678,-3.366724468099155,-3.206152597293565,False,spread <= 0
beta_T10 ~ sin roc_168,magnitud,195,-3.1403101738159145,32.384534822622165,0.41025641025641024,1.0,0.012916429270557713,1.0780644287072028,0.8192453726777058,-0.5868547923997405,-0.44142420825066847,False,spread <= 0
beta_VIX ~ sin roc_168 [bajo],magnitud,195,-3.162466898349786,32.54173794121789,0.4512820512820513,1.0,0.035549321898707804,1.1454434501427464,0.8144084553815018,-3.395463126594415,-3.2519122447546134,False,spread <= 0
beta_VIX [bajo],magnitud,195,-3.175856163666992,32.57002128426746,0.41025641025641024,1.0,0.038891503831760876,1.1519026746689722,0.8124498215301313,-3.3506298100904144,-3.256411120181845,False,spread <= 0
